state_x,state_y,total_vaccinations,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Alabama,Alabama,84040,1/13/21,-4.433198817,-2.610954872,-2.320892062,0.799190242,0.295172707,0.159677639,0.360754284,-0.069201831,-0.13696356,-0.292645767,0.150993573,-0.005547639,0.034831586,-0.006847842,0.079159334
Alabama,Alabama,100567,1/15/21,-4.257899213,-2.559712663,-2.270417562,0.807902805,0.384769252,0.174149539,0.44370625,-0.077262755,-0.118286473,-0.229103203,0.123158457,0.007159119,0.026678896,-0.001677209,0.070551239
Alabama,Alabama,130795,1/19/21,-4.102256329,-2.404424255,-1.913714184,0.633757154,0.204710701,0.107901273,0.26166617,-0.069242804,-0.098262338,-0.202829371,0.128456358,0.004153929,0.02438526,-0.000273746,0.058938598
Alabama,Alabama,139200,1/20/21,-4.039474172,-2.401091788,-1.957422674,0.64509979,0.253267786,0.114034964,0.287987989,-0.068421877,-0.079998904,-0.175582632,0.117087833,0.009327742,0.021571156,0.002209056,0.054983932
Alabama,Alabama,165919,1/21/21,-3.663459153,-2.301559632,-1.440281872,0.91101679,0.546634986,0.041223815,0.184865965,-0.097727206,-0.069758848,-0.138895929,0.114059522,0.0140248,0.017616867,0.003998489,0.046357665
Alabama,Alabama,199314,1/22/21,-3.327375107,-2.113130172,-1.005829038,0.933236588,0.654689548,0.05236265,0.285613832,-0.10392725,-0.053039843,-0.085197578,0.105413256,0.022518295,0.013993498,0.006079467,0.036372378
Alabama,Alabama,221540,1/23/21,-3.234240906,-1.920639341,-0.811652149,0.595236564,0.417274406,0.140282902,0.464190068,-0.08528005,-0.055493273,-0.055663442,0.10722564,0.027093096,0.011576403,0.003799319,0.03214029
Alabama,Alabama,243737,1/24/21,-3.058863059,-1.760807199,-0.501629104,0.501788879,0.367817882,0.155926533,0.526625021,-0.082616595,-0.053957729,-0.02954824,0.106859311,0.028630991,0.00962362,0.004506333,0.02586526
Alabama,Alabama,250612,1/25/21,-3.158745442,-1.661648463,-0.576752036,0.154842622,0.052388573,0.2226277,0.643382725,-0.053268261,-0.051145709,-0.024633875,0.108741215,0.027395705,0.010673573,0.003675187,0.023342498
Alabama,Alabama,254959,1/26/21,-3.18846487,-1.723074453,-0.838886814,0.143738534,0.088655912,0.251932954,0.703144164,-0.042622687,-0.021766057,-0.013851781,0.101590151,0.033472211,0.011162002,0.004009209,0.024754314
Alabama,Alabama,266444,1/27/21,-3.07315163,-1.784044207,-0.965590384,0.319310528,0.315013395,0.24532795,0.720568544,-0.048790276,0.012856999,0.016292796,0.086934759,0.04425147,0.007506669,0.005899593,0.023895136
Alabama,Alabama,278993,1/28/21,-3.082518008,-1.81576669,-1.028243489,0.310163829,0.26869284,0.181667238,0.499407859,-0.04443244,0.034776003,0.014771219,0.08953665,0.042144962,0.00621227,0.005190317,0.022266162
Alabama,Alabama,300915,1/29/21,-2.965300737,-1.825397933,-0.863333171,0.417182571,0.329350911,0.07431439,0.152722144,-0.056804026,0.045120856,0.007575638,0.099726469,0.036988562,0.003075539,0.00334781,0.020605795
Alabama,Alabama,342436,1/30/21,-2.542033079,-1.667556857,-0.253127219,0.690844755,0.604170919,-0.012815899,0.001275863,-0.087884945,0.04163917,0.027555936,0.105757963,0.037077378,-0.000166374,0.002814927,0.014282463
Alabama,Alabama,353974,1/31/21,-2.792207174,-1.5296538,-0.49628951,0.01671289,-0.02562839,0.097605439,0.126451813,-0.031803297,0.046466547,0.02514781,0.114256397,0.033181615,0.000140947,-0.000653215,0.013231991
Alabama,Alabama,358280,2/1/21,-2.848795411,-1.488865719,-0.546960871,-0.146757999,-0.183905613,0.11973631,0.152863626,-0.018042733,0.047009306,0.023507091,0.116722746,0.031384766,0.000713557,-0.001219461,0.012518678
Alabama,Alabama,371882,2/2/21,-2.667798402,-1.486664153,-0.417454169,0.015923138,0.027310578,0.106985923,0.148090184,-0.032506215,0.059640612,0.039585133,0.116433134,0.037859101,-0.00078482,-0.002073305,0.01171418
Alabama,Alabama,388339,2/3/21,-2.570257251,-1.527252318,-0.64510078,0.119701716,0.210321888,0.141043075,0.255155465,-0.027681001,0.103470719,0.075922714,0.096658409,0.051026994,-0.0024837,-0.000109484,0.0110557
Alabama,Alabama,408428,2/4/21,-2.426832318,-1.486683179,-0.592597664,0.169253549,0.305973026,0.144230333,0.285834885,-0.033626011,0.112080072,0.095139218,0.091480347,0.056149995,-0.004650402,0.00014973,0.009755519
Alabama,Alabama,430597,2/5/21,-2.32492674,-1.417925144,-0.441149131,0.146826933,0.279017247,0.114481435,0.180068397,-0.037832622,0.106578729,0.091427273,0.09997356,0.053921114,-0.006170137,-0.002393099,0.009235541
Alabama,Alabama,455173,2/6/21,-2.304153696,-1.399194456,-0.383355355,0.130960943,0.184075578,0.015413086,-0.151061974,-0.033432673,0.119465733,0.07281013,0.112766527,0.044190073,-0.00686427,-0.003955131,0.007621824
Alabama,Alabama,462332,2/7/21,-2.445954883,-1.307163074,-0.523320775,-0.249861936,-0.175085726,0.085183571,-0.04998692,-0.00141901,0.117080146,0.070004034,0.116448256,0.041056876,-0.006162024,-0.005546943,0.006977313
Alabama,Alabama,467636,2/8/21,-2.435348534,-1.276091605,-0.500322235,-0.304267914,-0.223223262,0.091614164,-0.038898572,-0.000442893,0.112167944,0.070909821,0.117231829,0.041063508,-0.005916834,-0.005832699,0.006919838
Alabama,Alabama,490969,2/9/21,-2.157299827,-1.262638628,-0.233857798,0.032798451,0.110016331,0.012337172,-0.157580852,-0.029213278,0.120044768,0.07970378,0.119186671,0.044056838,-0.007771737,-0.005802724,0.005653264
Alabama,Alabama,515802,2/10/21,-2.010428634,-1.210078854,-0.2028064,0.024796719,0.179486861,0.045393613,-0.104138635,-0.030653436,0.130284844,0.098444261,0.11692632,0.05216485,-0.011096573,-0.009014451,0.006995206
Alabama,Alabama,543237,2/11/21,-1.865410427,-1.155113196,-0.210709063,0.068582139,0.268034216,0.055979694,-0.053547756,-0.029671908,0.14858137,0.118234082,0.109354522,0.057684297,-0.011456308,-0.008389167,0.005222421
Alabama,Alabama,571115,2/12/21,-1.735907372,-1.072294064,-0.138743995,0.03132876,0.269406381,0.067835895,-0.047211533,-0.033852396,0.140273145,0.124787006,0.109996968,0.059262185,-0.014204234,-0.01047714,0.005927635
Alabama,Alabama,601159,2/13/21,-1.594394106,-0.986740571,-0.054485541,0.039342994,0.294492943,0.060398995,-0.058325696,-0.037090545,0.139615613,0.13066156,0.110791701,0.060159101,-0.014689138,-0.011304612,0.005158548
Alabama,Alabama,612254,2/14/21,-1.695175297,-0.851430026,-0.160578437,-0.375380201,-0.062168778,0.167934568,0.160303921,-0.007532513,0.126088076,0.133974548,0.112452007,0.059923494,-0.013934954,-0.012956135,0.00572493
Alabama,Alabama,636682,2/16/21,-1.639379752,-0.827986881,-0.271003392,-0.33934111,-0.047626901,0.137580705,0.095948216,-0.009290898,0.130899672,0.141109208,0.103159451,0.059684438,-0.015412334,-0.010787737,0.004227647
Alabama,Alabama,650020,2/17/21,-1.647060277,-0.845701667,-0.332887719,-0.331145855,-0.078457412,0.088649254,-0.082493592,-0.005997576,0.142387047,0.131973721,0.106805933,0.055465288,-0.016875702,-0.011601927,0.004638453
Alabama,Alabama,672038,2/18/21,-1.526531464,-0.835647672,-0.190345803,-0.203467083,0.005830432,0.006955188,-0.315283672,-0.025377923,0.129036266,0.114727793,0.116199603,0.050057267,-0.018050754,-0.013470077,0.005962387
Alabama,Alabama,739132,2/19/21,-0.73524546,-0.737050697,0.547890342,0.639218011,0.898049682,-0.126696268,-0.43263032,-0.118149997,0.098824206,0.133920107,0.116184482,0.060266931,-0.021179349,-0.013881201,0.007914298
Alabama,Alabama,776936,2/20/21,-0.815175452,-0.449618116,0.471340817,-0.038381217,0.301998036,0.035154658,-0.138495266,-0.09188577,0.02737788,0.126956723,0.121697039,0.056735284,-0.023772011,-0.019343986,0.011613069
Alabama,Alabama,788613,2/21/21,-0.992520629,-0.291886827,0.272291713,-0.59927394,-0.197082503,0.171305153,0.114736222,-0.050740293,0.009286236,0.127762012,0.123432156,0.054772435,-0.024112388,-0.021337139,0.011502824
Alabama,Alabama,793614,2/22/21,-1.043823622,-0.250685677,0.174196094,-0.744844873,-0.364851688,0.178478153,0.073948225,-0.034001205,0.012320465,0.095493498,0.147784016,0.046918552,-0.030544552,-0.022041238,-0.0076906
Alabama,Alabama,815108,2/23/21,-0.783569429,-0.230880934,0.459427882,-0.449656677,-0.07455756,0.107764922,-0.048002768,-0.074701254,-0.013540514,0.093998037,0.152527846,0.047844803,-0.033004897,-0.02252187,-0.005838129
